          Ground-State Mulliken Net Atomic Charges

     Atom                 Charge (a.u.)
  ----------------------------------------
      1 C                     0.005784
      2 C                     0.006551
      3 C                     0.005303
      4 C                     0.005797
      5 C                     0.006115
      6 C                    -0.012320
      7 C                     0.001177
      8 C                     0.003268
      9 C                    -0.013105
     10 C                     0.003840
     11 C                     0.001343
     12 C                    -0.012844
     13 C                     0.001280
     14 C                     0.004661
     15 C                    -0.014246
     16 C                     0.002046
     17 C                     0.004076
     18 C                    -0.013435
     19 C                     0.001933
     20 C                     0.002302
     21 C                    -0.024282
     22 C                    -0.021467
     23 C                    -0.022235
     24 C                    -0.023340
     25 C                    -0.021721
     26 C                    -0.024884
     27 C                    -0.021003
     28 C                    -0.022576
     29 C                    -0.023864
     30 C                    -0.022830
     31 C                     0.048613
     32 C                     0.047346
     33 C                     0.048532
     34 C                     0.046725
     35 C                     0.048098
     36 C                     0.046922
     37 C                     0.045319
     38 C                     0.048921
     39 C                     0.047510
     40 C                     0.047395
     41 C                    -0.023714
     42 C                    -0.021188
     43 C                    -0.022966
     44 C                    -0.022417
     45 C                    -0.022144
     46 C                    -0.022964
     47 C                    -0.023405
     48 C                    -0.020591
     49 C                    -0.023360
     50 C                    -0.022040
     51 C                     0.001264
     52 C                     0.003515
     53 C                     0.002374
     54 C                     0.002580
     55 C                     0.001452
     56 C                     0.002675
     57 C                     0.002293
     58 C                     0.002727
     59 C                     0.004397
     60 C                     0.001087
     61 C                    -0.012978
     62 C                    -0.013849
     63 C                    -0.013311
     64 C                    -0.013977
     65 C                    -0.011730
     66 C                     0.007151
     67 C                     0.004726
     68 C                     0.005711
     69 C                     0.006031
     70 C                     0.005946
  ----------------------------------------
  Sum of atomic charges =     0.000000
