          Ground-State Mulliken Net Atomic Charges

     Atom                 Charge (a.u.)
  ----------------------------------------
      1 C                    -0.297259
      2 C                    -0.306908
      3 C                    -0.324003
      4 C                    -0.081202
      5 C                    -0.089841
      6 C                     0.108080
      7 C                    -0.389712
      8 C                    -0.304093
      9 C                    -0.303969
     10 C                    -0.391344
     11 C                     0.109770
     12 C                    -0.091142
     13 C                    -0.080772
     14 C                    -0.330822
     15 C                    -0.308302
     16 C                    -0.297295
     17 C                    -0.306692
     18 C                    -0.323677
     19 C                     0.095028
     20 C                     0.073610
     21 C                    -0.415102
     22 C                    -0.429578
     23 C                     0.082371
     24 C                     0.083045
     25 C                    -0.429816
     26 C                    -0.416047
     27 C                     0.074985
     28 C                     0.094736
     29 C                    -0.091005
     30 C                    -0.080639
     31 C                    -0.331084
     32 C                    -0.308016
     33 C                    -0.297274
     34 C                    -0.307086
     35 C                    -0.323783
     36 C                     0.109424
     37 C                    -0.390860
     38 C                    -0.304176
     39 C                    -0.303972
     40 C                    -0.391259
     41 C                     0.109565
     42 C                    -0.091139
     43 C                    -0.080831
     44 C                    -0.330454
     45 C                    -0.308017
     46 C                    -0.297245
     47 C                    -0.306956
     48 C                    -0.323941
     49 C                     0.094915
     50 C                     0.073472
     51 C                    -0.415042
     52 C                    -0.429574
     53 C                     0.082375
     54 C                     0.083049
     55 C                    -0.429814
     56 C                    -0.416025
     57 C                     0.075022
     58 C                     0.094039
     59 C                     0.020469
     60 C                     0.076231
     61 C                     0.076215
     62 C                     0.020526
     63 C                    -0.330592
     64 C                    -0.307991
     65 H                     0.307557
     66 H                     0.308862
     67 H                     0.324913
     68 H                     0.331700
     69 H                     0.307334
     70 H                     0.307333
     71 H                     0.332039
     72 H                     0.325871
     73 H                     0.309215
     74 H                     0.307555
     75 H                     0.308745
     76 H                     0.324617
     77 H                     0.346350
     78 H                     0.307779
     79 H                     0.307617
     80 H                     0.346413
     81 H                     0.325852
     82 H                     0.309163
     83 H                     0.307567
     84 H                     0.309022
     85 H                     0.324629
     86 H                     0.331990
     87 H                     0.307387
     88 H                     0.307311
     89 H                     0.332021
     90 H                     0.325622
     91 H                     0.308957
     92 H                     0.307546
     93 H                     0.308866
     94 H                     0.324860
     95 H                     0.346333
     96 H                     0.307790
     97 H                     0.307610
     98 H                     0.346396
     99 H                     0.325640
    100 H                     0.308966
  ----------------------------------------
  Sum of atomic charges =     0.000000
