
  STATE     Energy(eV)    Strength             Q 1           Q 2
     0(GR)     --           --            -0.001425       0.001421
     1       1.1554     0.0018146440      -0.987223       0.987221
     2       1.3577     0.0002148501      -0.990063       0.990057
     3       1.4418     0.0318846485      -0.978592       0.978586
     4       1.7133     1.4325855420      -0.009157       0.009152
     5       1.7979     0.0019769771      -0.138518       0.138508
     6       1.9042     0.0001443605      -0.077560       0.077553
     7       1.9278     0.0000462872      -0.755205       0.755204
     8       1.9587     0.0024379497      -0.926898       0.926895
     9       1.9775     0.0011098683      -0.105026       0.105024
    10       2.0023     0.0003987692      -0.085694       0.085701
    11       2.0400     0.0067495602      -0.102859       0.102853
    12       2.0788     0.0046488539      -0.038388       0.038387
    13       2.1058     0.0104503613      -0.127764       0.127759
    14       2.1253     0.0025065645      -0.614392       0.614390
    15       2.1583     0.0072298344      -0.334744       0.334742
    16       2.1806     0.0036996430      -0.287636       0.287635
    17       2.1908     0.0028572434      -0.942896       0.942884
    18       2.1952     0.0085752823      -0.286283       0.286281
    19       2.2067     0.0040108741      -0.578365       0.578361
    20       2.2144     0.0036462034      -0.301177       0.301170
    21       2.2307     0.0036913242      -0.144333       0.144329
    22       2.2828     0.0035968865      -0.040384       0.040376
    23       2.2910     0.0010547594      -0.171151       0.171146
    24       2.3158     0.0109645710      -0.109911       0.109904
    25       2.3323     0.0176653742      -0.076176       0.076167
    26       2.3483     0.0048095363      -0.204517       0.204517
    27       2.3617     0.0001063082      -0.912116       0.912108
    28       2.3744     0.0075108045      -0.110415       0.110408
    29       2.3926     0.0017366707      -0.094623       0.094615
    30       2.4053     0.0026236356       0.008675      -0.008678
    31       2.4238     0.0007493947      -0.347011       0.347003
    32       2.4598     0.0181939957      -0.349392       0.349390
    33       2.4699     0.0265053903      -0.007567       0.007565
    34       2.4918     0.0086034773      -0.504827       0.504833
    35       2.5088     0.0105975241      -0.108372       0.108365
    36       2.5134     0.0141302333      -0.087109       0.087102
    37       2.5490     0.0434844095      -0.027705       0.027696
    38       2.5585     0.0250914937      -0.092193       0.092186
    39       2.5743     0.0029646861      -0.601831       0.601834
    40       2.5862     0.0349728996      -0.125220       0.125215
