  STATES      Coupling(eV)
   0    1     0.0155008600 
   0    2    -0.0077456990 
   0    3     0.0038141750 
   0    4    -0.7914782000 
   0    5    -0.0111646800 
   0    6    -0.0031745490 
   0    7     0.0211372200 
   0    8     0.0767880000 
   0    9     0.3481002000 
   0   10    -0.0055551510 
   0   11     0.0116592900 
   0   12     0.0612225900 
   0   13    -0.1840922000 
   0   14     0.0723523000 
   0   15     0.0105964600 
   0   16    -0.0129712900 
   0   17     0.3453638000 
   0   18    -0.0166879500 
   0   19    -0.0165086400 
   0   20    -0.0197490500 
   0   21    -0.0056586570 
   0   22    -0.0078993010 
   0   23    -0.2744431000 
   0   24    -0.5448073000 
   0   25     0.2291364000 
   0   26    -0.0215529200 
   0   27     0.4011829000 
   0   28     0.0280714300 
   0   29     0.0025805470 
   0   30    -0.3408166000 
   0   31    -0.9639346000 
   0   32     0.3321046000 
   0   33     0.7333935000 
   0   34     0.9337253000 
   0   35     0.9636068000 
   0   36    -0.0070997150 
   0   37    -0.0299595100 
   0   38     0.3366145000 
   0   39    -0.5081168000 
   0   40     0.0728644800 
   1    2     0.0424349400 
   1    3    -0.0825602400 
   1    4     0.0124841900 
   1    5     0.0867344500 
   1    6    -0.0129651900 
   1    7    -0.0512051700 
   1    8     0.0015676660 
   1    9     0.0046234640 
   1   10     0.0101867100 
   1   11     0.0014279740 
   1   12    -0.0026251320 
   1   13    -0.0288051300 
   1   14     0.0052354680 
   1   15     0.0014643760 
   1   16    -0.0103852000 
   1   17    -0.0001923576 
   1   18     0.0008922630 
   1   19     0.0036310870 
   1   20    -0.0126753500 
   1   21    -0.0126680500 
   1   22     0.0119022800 
   1   23    -0.0018501400 
   1   24     0.0012961490 
   1   25     0.0045770950 
   1   26    -0.0427048500 
   1   27    -0.0005312854 
   1   28    -0.0032031400 
   1   29    -0.0019472030 
   1   30     0.0121795000 
   1   31    -0.0060011210 
   1   32     0.0120883000 
   1   33    -0.0028260280 
   1   34     0.0071565680 
   1   35    -0.0011791660 
   1   36     0.0045779140 
   1   37    -0.0003895039 
   1   38     0.0022908520 
   1   39    -0.0054852410 
   1   40     0.0024270280 
   2    3    -0.0440317400 
   2    4    -0.0001090223 
   2    5     0.0653644500 
   2    6    -0.0002336996 
   2    7     0.0064398720 
   2    8    -0.0087242800 
   2    9     0.0066770750 
   2   10    -0.0389331800 
   2   11    -0.0015657160 
   2   12     0.0020109880 
   2   13     0.0013801200 
   2   14    -0.0049894650 
   2   15     0.0119542200 
   2   16     0.0007447999 
   2   17    -0.0008453415 
   2   18    -0.0263707300 
   2   19    -0.0034718530 
   2   20    -0.0318383400 
   2   21    -0.0243006800 
   2   22     0.0159785700 
   2   23    -0.0018251540 
   2   24    -0.0067903050 
   2   25     0.0103381100 
   2   26    -0.1532152000 
   2   27     0.0025583330 
   2   28     0.0143043900 
   2   29     0.0067414070 
   2   30    -0.0083443340 
   2   31    -0.0088061130 
   2   32     0.0067756320 
   2   33     0.0016723870 
   2   34     0.0080933540 
   2   35     0.0072035340 
   2   36     0.0047783750 
   2   37    -0.0054431670 
   2   38     0.0025801440 
   2   39     0.0097719900 
   2   40     0.0010907580 
   3    4    -0.0015223740 
   3    5     0.0542492200 
   3    6    -0.0006350741 
   3    7     0.0029736140 
   3    8    -0.0007169173 
   3    9     0.0005192138 
   3   10    -0.0167889300 
   3   11    -0.0088598110 
   3   12     0.0076338630 
   3   13    -0.0021200360 
   3   14    -0.0092731340 
   3   15    -0.0195347900 
   3   16    -0.0322040700 
   3   17     0.0000948033 
   3   18    -0.0052553220 
   3   19     0.0257826200 
   3   20     0.0350471100 
   3   21     0.0054940100 
   3   22    -0.0043685920 
   3   23    -0.0010618160 
   3   24    -0.0052982180 
   3   25    -0.0153711900 
   3   26     0.0508174400 
   3   27     0.0002639478 
   3   28    -0.0044098530 
   3   29     0.0008704082 
   3   30     0.0006158943 
   3   31     0.0103051100 
   3   32     0.0056917460 
   3   33    -0.0071261360 
   3   34    -0.0036850740 
   3   35     0.0076262030 
   3   36     0.0041436010 
   3   37    -0.0081217020 
   3   38    -0.0000211426 
   3   39    -0.0022992330 
   3   40    -0.0005727757 
   4    5    -0.0064335560 
   4    6     0.0226509800 
   4    7     0.0059208090 
   4    8     0.0179793000 
   4    9     0.0256228300 
   4   10    -0.0001652981 
   4   11     0.0002191701 
   4   12    -0.0037058990 
   4   13    -0.0254818000 
   4   14     0.0037164070 
   4   15     0.0030723430 
   4   16    -0.0051860820 
   4   17    -0.0984751100 
   4   18     0.0042153840 
   4   19     0.0009804236 
   4   20    -0.0016659230 
   4   21    -0.0049808410 
   4   22    -0.0064831840 
   4   23     0.0470663300 
   4   24    -0.0356198500 
   4   25    -0.0052478730 
   4   26    -0.0012060690 
   4   27     0.0060835080 
   4   28     0.0012579500 
   4   29     0.0003837986 
   4   30    -0.0227106000 
   4   31     0.2842968000 
   4   32     0.0151058700 
   4   33     0.0624009800 
   4   34     0.0564901500 
   4   35     0.0863758400 
   4   36    -0.0020426190 
   4   37    -0.0036543440 
   4   38     0.0264426000 
   4   39    -0.0395152000 
   4   40    -0.0129535700 
   5    6     0.0001464590 
   5    7    -0.0007692772 
   5    8     0.0005595436 
   5    9    -0.0009009539 
   5   10    -0.0015881800 
   5   11     0.0011493090 
   5   12    -0.0003779971 
   5   13    -0.0003747089 
   5   14     0.0001692550 
   5   15     0.0051271220 
   5   16    -0.0018721820 
   5   17     0.0001880203 
   5   18    -0.0003263258 
   5   19    -0.0028180870 
   5   20    -0.0047378360 
   5   21    -0.0122098000 
   5   22     0.0013795780 
   5   23     0.0000840390 
   5   24    -0.0007235792 
   5   25     0.0088095100 
   5   26    -0.1246020000 
   5   27     0.0062929390 
   5   28    -0.0120553700 
   5   29    -0.0064902160 
   5   30     0.0005062312 
   5   31    -0.0301268800 
   5   32    -0.0013724350 
   5   33    -0.0012178350 
   5   34    -0.0014328080 
   5   35    -0.0004940555 
   5   36    -0.0186184000 
   5   37    -0.0012528640 
   5   38    -0.0014596860 
   5   39     0.0022767580 
   5   40     0.0178344000 
   6    7    -0.0149831500 
   6    8     0.0475690800 
   6    9    -0.0704741800 
