          Ground-State Mulliken Net Atomic Charges
     Atom                 Charge (a.u.)
      1 C                    -0.004620
      2 C                    -0.014784
      3 C                     0.015471
      4 C                     0.003919
      5 C                     0.002837
      6 C                    -0.022020
      7 C                    -0.004017
      8 C                    -0.000184
      9 C                     0.012360
     10 C                    -0.003987
     11 C                    -0.026005
     12 C                     0.015696
     13 C                    -0.033767
     14 C                     0.012935
     15 C                     0.030444
     16 C                    -0.036851
     17 C                    -0.015423
     18 C                     0.007830
     19 C                    -0.017782
     20 C                     0.032781
     21 C                    -0.024621
     22 C                    -0.024621
     23 C                    -0.047217
     24 C                    -0.016702
     25 C                    -0.014404
     26 C                    -0.052118
     27 C                     0.015090
     28 C                    -0.011485
     29 C                    -0.061985
     30 C                    -0.011056
     31 C                     0.000078
     32 C                     0.103491
     33 C                    -0.008726
     34 C                     0.065379
     35 C                     0.057372
     36 C                     0.051000
     37 C                     0.056760
     38 C                     0.081571
     39 C                     0.109228
     40 C                     0.048316
     41 C                     0.037912
     42 C                    -0.041055
     43 C                    -0.007811
     44 C                    -0.048807
     45 C                    -0.022549
     46 C                    -0.008963
     47 C                    -0.047826
     48 C                    -0.043120
     49 C                    -0.018069
     50 C                    -0.014448
     51 C                    -0.027363
     52 C                     0.029630
     53 C                    -0.009270
     54 C                    -0.006157
     55 C                    -0.011965
     56 C                    -0.025444
     57 C                     0.008651
     58 C                     0.018703
     59 C                    -0.041976
     60 C                     0.024395
     61 C                    -0.035124
     62 C                    -0.029632
     63 C                     0.022561
     64 C                    -0.016213
     65 C                    -0.001117
     66 C                     0.000880
     67 C                    -0.003897
     68 C                    -0.005662
     69 C                     0.041691
     70 C                     0.010437
     71 C                    -0.173748
     72 C                    -0.208296
     73 C                    -0.178537
     74 C                    -0.035879
     75 C                    -0.040906
     76 C                     0.119092
     77 C                    -0.234582
     78 C                    -0.188486
     79 C                    -0.191746
     80 C                    -0.218456
     81 C                    -0.007105
     82 C                     0.057877
     83 C                    -0.031718
     84 C                    -0.202913
     85 C                    -0.183586
     86 C                    -0.188539
     87 C                    -0.189114
     88 C                    -0.196752
     89 C                    -0.009857
     90 C                     0.069064
     91 C                    -0.240738
     92 C                    -0.262297
     93 C                     0.078678
     94 C                     0.088075
     95 C                    -0.277315
     96 C                    -0.247031
     97 C                     0.103610
     98 C                    -0.066736
     99 C                     0.039325
    100 C                     0.022722
    101 C                    -0.231288
    102 C                    -0.163046
    103 C                    -0.194077
    104 C                    -0.180883
    105 C                    -0.239677
    106 C                     0.124998
    107 C                    -0.275176
    108 C                    -0.173813
    109 C                    -0.191706
    110 C                    -0.273590
    111 C                     0.085901
    112 C                     0.011373
    113 C                     0.020438
    114 C                    -0.207109
    115 C                    -0.207880
    116 C                    -0.168377
    117 C                    -0.192878
    118 C                    -0.216107
    119 C                    -0.077083
    120 C                     0.082484
    121 C                    -0.213611
    122 C                    -0.251761
    123 C                     0.020010
    124 C                     0.066037
    125 C                    -0.256904
    126 C                    -0.204497
    127 C                     0.131845
    128 C                    -0.051822
    129 C                    -0.161507
    130 C                     0.041791
    131 C                     0.075683
    132 C                    -0.167176
    133 C                    -0.203396
    134 C                    -0.189152
    135 H                     0.195117
    136 H                     0.189662
    137 H                     0.193383
    138 H                     0.195661
    139 H                     0.193551
    140 H                     0.183803
    141 H                     0.195029
    142 H                     0.196280
    143 H                     0.196578
    144 H                     0.187157
    145 H                     0.201840
    146 H                     0.188007
    147 H                     0.199770
    148 H                     0.207967
    149 H                     0.190903
    150 H                     0.202385
    151 H                     0.185893
    152 H                     0.202567
    153 H                     0.188995
    154 H                     0.195915
    155 H                     0.199179
    156 H                     0.182123
    157 H                     0.192743
    158 H                     0.184570
    159 H                     0.199928
    160 H                     0.200551
    161 H                     0.187848
    162 H                     0.199467
    163 H                     0.188192
    164 H                     0.198019
    165 H                     0.210016
    166 H                     0.203728
    167 H                     0.198554
    168 H                     0.209366
    169 H                     0.194353
    170 H                     0.190171
  ----------------------------------------
 
